date,service_name,cpu,recieved_bytes,transmitted_bytes
1601624100000000000,srv3,9.742249e-02,3.096895e+05,5.285193e+05
1601624400000000000,srv3,1.006568e-01,3.129386e+05,5.550857e+05
1601624700000000000,srv3,1.017713e-01,3.208938e+05,5.458283e+05
1601625000000000000,srv3,1.049942e-01,3.253310e+05,5.706567e+05
1601625300000000000,srv3,1.056775e-01,3.467426e+05,5.917446e+05
1601625600000000000,srv3,1.126792e-01,3.528579e+05,6.026955e+05
1601625900000000000,srv3,1.172561e-01,3.625591e+05,6.227498e+05
1601626200000000000,srv3,1.169838e-01,3.745990e+05,6.424341e+05
1601626500000000000,srv3,1.202845e-01,3.851277e+05,6.612414e+05
1601626800000000000,srv3,1.203805e-01,3.879934e+05,6.585438e+05
1601627100000000000,srv3,1.239108e-01,3.990351e+05,6.786563e+05
1601627400000000000,srv3,1.261730e-01,3.988620e+05,6.749331e+05
1601627700000000000,srv3,1.248567e-01,4.048539e+05,6.828624e+05
1601628000000000000,srv3,1.279122e-01,4.024184e+05,6.953625e+05
1601628300000000000,srv3,1.306318e-01,4.128071e+05,7.080175e+05
1601628600000000000,srv3,1.328642e-01,4.133329e+05,7.052138e+05
1601628900000000000,srv3,1.310597e-01,4.208186e+05,7.208524e+05
1601629200000000000,srv3,1.342652e-01,4.354704e+05,7.238030e+05
1601629500000000000,srv3,1.386482e-01,4.402997e+05,7.456085e+05
1601629800000000000,srv3,1.399066e-01,4.438023e+05,7.510670e+05
1601630100000000000,srv3,1.427199e-01,4.533986e+05,7.684494e+05
1601630400000000000,srv3,1.426495e-01,4.474259e+05,7.647192e+05
1601630700000000000,srv3,1.433141e-01,4.585929e+05,7.819516e+05
1601631000000000000,srv3,1.464026e-01,4.549740e+05,7.707976e+05
1601631300000000000,srv3,1.465420e-01,4.619413e+05,7.927181e+05
1601631600000000000,srv3,1.469554e-01,4.695146e+05,7.918408e+05
1601631900000000000,srv3,1.487238e-01,4.656860e+05,7.936946e+05
1601632200000000000,srv3,1.495521e-01,4.810418e+05,8.129304e+05
1601632500000000000,srv3,1.517575e-01,4.814500e+05,8.167417e+05
1601632800000000000,srv3,1.537721e-01,4.786538e+05,8.122760e+05
1601633100000000000,srv3,1.553920e-01,4.936271e+05,8.337300e+05
1601633400000000000,srv3,1.552272e-01,4.912403e+05,8.430134e+05
1601633700000000000,srv3,1.553586e-01,4.933397e+05,8.275263e+05
1601634000000000000,srv3,1.551405e-01,4.956666e+05,8.435278e+05
1601634300000000000,srv3,1.567014e-01,4.922105e+05,8.373892e+05
1601634600000000000,srv3,1.547424e-01,4.951400e+05,8.427299e+05
1601634900000000000,srv3,1.578923e-01,4.932294e+05,8.413224e+05
1601635200000000000,srv3,1.576818e-01,5.005556e+05,8.495702e+05
1601635500000000000,srv3,1.575973e-01,4.889974e+05,8.172988e+05
1601635800000000000,srv3,1.578501e-01,5.065760e+05,8.549880e+05
1601636100000000000,srv3,1.573223e-01,4.980373e+05,8.334600e+05
1601636400000000000,srv3,1.590511e-01,5.105648e+05,8.582960e+05
1601636700000000000,srv3,1.627354e-01,4.995212e+05,8.419609e+05
1601637000000000000,srv3,1.607463e-01,5.152174e+05,8.678845e+05
1601637300000000000,srv3,1.605541e-01,5.206920e+05,8.890713e+05
1601637600000000000,srv3,1.591661e-01,5.027230e+05,8.461749e+05
1601637900000000000,srv3,1.634021e-01,5.133426e+05,8.592861e+05
1601638200000000000,srv3,1.611037e-01,5.099764e+05,8.835978e+05
1601638500000000000,srv3,1.640332e-01,5.157349e+05,8.527962e+05
1601638800000000000,srv3,1.619493e-01,5.203708e+05,8.710017e+05
1601639100000000000,srv3,1.643520e-01,5.119347e+05,8.842517e+05
1601639400000000000,srv3,1.650947e-01,5.172529e+05,8.635436e+05
1601639700000000000,srv3,1.642241e-01,5.168398e+05,8.908420e+05
1601640000000000000,srv3,1.666469e-01,5.180811e+05,8.726927e+05
1601640300000000000,srv3,1.689446e-01,5.267516e+05,9.002696e+05
1601640600000000000,srv3,1.679063e-01,5.154502e+05,8.643800e+05
1601640900000000000,srv3,1.690789e-01,5.294395e+05,9.084087e+05
1601641200000000000,srv3,1.648282e-01,5.244544e+05,8.757255e+05
1601641500000000000,srv3,1.676118e-01,5.183199e+05,8.967333e+05
1601641800000000000,srv3,1.669358e-01,5.219021e+05,8.667808e+05
1601642100000000000,srv3,1.706259e-01,5.218641e+05,9.019232e+05
1601642400000000000,srv3,1.655652e-01,5.234771e+05,8.833213e+05
1601642700000000000,srv3,1.660340e-01,5.193489e+05,8.913767e+05
1601643000000000000,srv3,1.681759e-01,5.154896e+05,8.670924e+05
1601643300000000000,srv3,1.678726e-01,5.258309e+05,8.975271e+05
1601643600000000000,srv3,1.680443e-01,5.223947e+05,8.883215e+05
1601643900000000000,srv3,1.671670e-01,5.223002e+05,8.973392e+05
1601644200000000000,srv3,1.714049e-01,5.277989e+05,8.804271e+05
1601644500000000000,srv3,1.645223e-01,5.145191e+05,8.894513e+05
1601644800000000000,srv3,1.664304e-01,5.285782e+05,8.922455e+05
1601645100000000000,srv3,1.671639e-01,5.155165e+05,8.815232e+05
1601645400000000000,srv3,1.664621e-01,5.252278e+05,8.758170e+05
1601645700000000000,srv3,1.673033e-01,5.203858e+05,8.940545e+05
1601646000000000000,srv3,1.694276e-01,5.153102e+05,8.750936e+05
1601646300000000000,srv3,1.639506e-01,5.167826e+05,8.761929e+05
1601646600000000000,srv3,1.679059e-01,5.163758e+05,8.719394e+05
1601646900000000000,srv3,1.650396e-01,5.122754e+05,8.709705e+05
1601647200000000000,srv3,1.669065e-01,5.211115e+05,8.927726e+05
1601647500000000000,srv3,1.640895e-01,5.039423e+05,8.518811e+05
1601647800000000000,srv3,1.637874e-01,5.175921e+05,8.727825e+05
1601648100000000000,srv3,1.632552e-01,5.149243e+05,8.850579e+05
1601648400000000000,srv3,1.631808e-01,4.989359e+05,8.543426e+05
1601648700000000000,srv3,1.651829e-01,5.095554e+05,8.559612e+05
1601649000000000000,srv3,1.640657e-01,5.094726e+05,8.670793e+05
1601649300000000000,srv3,1.613590e-01,4.961721e+05,8.392656e+05
1601649600000000000,srv3,1.628587e-01,5.056189e+05,8.683249e+05
1601649900000000000,srv3,1.624164e-01,4.973398e+05,8.528275e+05
1601650200000000000,srv3,1.610876e-01,5.034178e+05,8.531364e+05
1601650500000000000,srv3,1.618210e-01,5.038619e+05,8.541078e+05
1601650800000000000,srv3,1.616284e-01,5.040042e+05,8.448896e+05
1601651100000000000,srv3,1.609235e-01,5.105812e+05,8.626476e+05
1601651400000000000,srv3,1.637954e-01,5.029001e+05,8.527759e+05
1601651700000000000,srv3,1.609892e-01,4.975087e+05,8.481492e+05
1601652000000000000,srv3,1.600117e-01,5.027737e+05,8.453524e+05
1601652300000000000,srv3,1.620548e-01,4.978375e+05,8.611405e+05
1601652600000000000,srv3,1.592808e-01,5.006411e+05,8.447841e+05
1601652900000000000,srv3,1.599675e-01,4.987305e+05,8.488093e+05
1601653200000000000,srv3,1.590954e-01,4.880810e+05,8.260894e+05
1601653500000000000,srv3,1.579784e-01,5.018159e+05,8.619658e+05
1601653800000000000,srv3,1.603510e-01,4.886255e+05,8.319451e+05
1601654100000000000,srv3,1.597702e-01,5.029656e+05,8.534932e+05
1601654400000000000,srv3,1.601107e-01,4.996817e+05,8.398831e+05
1601654700000000000,srv3,1.598223e-01,4.913142e+05,8.384751e+05
1601655000000000000,srv3,1.601925e-01,5.036117e+05,8.524090e+05
1601655300000000000,srv3,1.586561e-01,4.968837e+05,8.503871e+05
1601655600000000000,srv3,1.601271e-01,4.985608e+05,8.381616e+05
1601655900000000000,srv3,1.575034e-01,4.907180e+05,8.487593e+05
1601656200000000000,srv3,1.580283e-01,4.969115e+05,8.342679e+05
1601656500000000000,srv3,1.590564e-01,4.960022e+05,8.504347e+05
1601656800000000000,srv3,1.580863e-01,4.924878e+05,8.300769e+05
1601657100000000000,srv3,1.573852e-01,4.972653e+05,8.468837e+05
1601657400000000000,srv3,1.595523e-01,4.946690e+05,8.447341e+05
1601657700000000000,srv3,1.597473e-01,5.027441e+05,8.532559e+05
1601658000000000000,srv3,1.602620e-01,5.018493e+05,8.471475e+05
1601658300000000000,srv3,1.622002e-01,5.099806e+05,8.505676e+05
1601658600000000000,srv3,1.586999e-01,4.989813e+05,8.571233e+05
1601658900000000000,srv3,1.575737e-01,4.959311e+05,8.337098e+05
1601659200000000000,srv3,1.583000e-01,4.922950e+05,8.491820e+05
1601659500000000000,srv3,1.549745e-01,4.906562e+05,8.317089e+05
1601659800000000000,srv3,1.567526e-01,4.811982e+05,8.233336e+05
1601660100000000000,srv3,1.524294e-01,4.908609e+05,8.344416e+05
1601660400000000000,srv3,1.522307e-01,4.875304e+05,8.239212e+05
1601660700000000000,srv3,1.527133e-01,4.753763e+05,8.220941e+05
1601661000000000000,srv3,1.515344e-01,4.843288e+05,8.126352e+05
1601661300000000000,srv3,1.520257e-01,4.704471e+05,8.009000e+05
1601661600000000000,srv3,1.511170e-01,4.858278e+05,8.381033e+05
1601661900000000000,srv3,1.518384e-01,4.836307e+05,8.183360e+05
1601662200000000000,srv3,1.495320e-01,4.824436e+05,8.099024e+05
1601662500000000000,srv3,1.492564e-01,4.705616e+05,8.107013e+05
1601662800000000000,srv3,1.497613e-01,4.691656e+05,7.866991e+05
1601663100000000000,srv3,1.470847e-01,4.738282e+05,8.033053e+05
1601663400000000000,srv3,1.459197e-01,4.621822e+05,7.947986e+05
1601663700000000000,srv3,1.444907e-01,4.611870e+05,7.879007e+05
1601664000000000000,srv3,1.437877e-01,4.579060e+05,7.895562e+05
1601664300000000000,srv3,1.422157e-01,4.476681e+05,7.561884e+05
1601664600000000000,srv3,1.419603e-01,4.511191e+05,7.663688e+05
1601664900000000000,srv3,1.425695e-01,4.561698e+05,7.747563e+05
1601665200000000000,srv3,1.400897e-01,4.441304e+05,7.603237e+05
1601665500000000000,srv3,1.383440e-01,4.402695e+05,7.487368e+05
1601665800000000000,srv3,1.382442e-01,4.378031e+05,7.525745e+05
1601666100000000000,srv3,1.356427e-01,4.300798e+05,7.338358e+05
1601666400000000000,srv3,1.332059e-01,4.281639e+05,7.289600e+05
1601666700000000000,srv3,1.338334e-01,4.237904e+05,7.214505e+05
1601667000000000000,srv3,1.304920e-01,4.181238e+05,7.178326e+05
1601667300000000000,srv3,1.295410e-01,4.103351e+05,7.060921e+05
1601667600000000000,srv3,1.275294e-01,4.120301e+05,7.002098e+05
1601667900000000000,srv3,1.259482e-01,3.956939e+05,6.849599e+05
1601668200000000000,srv3,1.253408e-01,3.965067e+05,6.777558e+05
1601668500000000000,srv3,1.219871e-01,3.859167e+05,6.675060e+05
1601668800000000000,srv3,1.208643e-01,3.860722e+05,6.589212e+05
1601669100000000000,srv3,1.199025e-01,3.778265e+05,6.452927e+05
1601669400000000000,srv3,1.186673e-01,3.750710e+05,6.452345e+05
1601669700000000000,srv3,1.157513e-01,3.647223e+05,6.388386e+05
1601670000000000000,srv3,1.129519e-01,3.586112e+05,6.105928e+05
1601670300000000000,srv3,1.101470e-01,3.460576e+05,6.026042e+05
1601670600000000000,srv3,1.094721e-01,3.401210e+05,5.973196e+05
1601670900000000000,srv3,1.075708e-01,3.421087e+05,5.860938e+05
1601671200000000000,srv3,1.040138e-01,3.318727e+05,5.731879e+05
1601671500000000000,srv3,1.023978e-01,3.179824e+05,5.551680e+05
1601671800000000000,srv3,1.008079e-01,3.201561e+05,5.503106e+05
1601672100000000000,srv3,9.764429e-02,3.103192e+05,5.466533e+05
1601672400000000000,srv3,9.620409e-02,3.066557e+05,5.263224e+05
1601672700000000000,srv3,9.466806e-02,2.926430e+05,5.176632e+05
1601673000000000000,srv3,9.270520e-02,2.881798e+05,5.085044e+05
1601673300000000000,srv3,9.028162e-02,2.872568e+05,4.966320e+05
1601673600000000000,srv3,8.665317e-02,2.701980e+05,4.794098e+05
1601673900000000000,srv3,8.512944e-02,2.729025e+05,4.701868e+05
1601674200000000000,srv3,8.450882e-02,2.610796e+05,4.649833e+05
1601674500000000000,srv3,8.189743e-02,2.630882e+05,4.613704e+05
1601674800000000000,srv3,8.021886e-02,2.469629e+05,4.355975e+05
1601675100000000000,srv3,7.863829e-02,2.419828e+05,4.344138e+05
1601675400000000000,srv3,7.553657e-02,2.312623e+05,4.143182e+05
1601675700000000000,srv3,7.350898e-02,2.303323e+05,4.127378e+05
1601676000000000000,srv3,7.113813e-02,2.243871e+05,3.878393e+05
1601676300000000000,srv3,6.969651e-02,2.111127e+05,3.746410e+05
1601676600000000000,srv3,6.596190e-02,2.008595e+05,3.555083e+05
1601676900000000000,srv3,6.455411e-02,1.983164e+05,3.503460e+05
1601677200000000000,srv3,6.314940e-02,2.018247e+05,3.479405e+05
1601677500000000000,srv3,6.092772e-02,1.834561e+05,3.224447e+05
1601677800000000000,srv3,5.789832e-02,1.837863e+05,3.152928e+05
1601678100000000000,srv3,5.817145e-02,1.754748e+05,3.081487e+05
1601678400000000000,srv3,5.612129e-02,1.684869e+05,3.007442e+05
1601678700000000000,srv3,5.366116e-02,1.623431e+05,2.868139e+05
1601679000000000000,srv3,5.283191e-02,1.576955e+05,2.801257e+05
1601679300000000000,srv3,5.051120e-02,1.510391e+05,2.663166e+05
1601679600000000000,srv3,4.880501e-02,1.454761e+05,2.582728e+05
1601679900000000000,srv3,4.686943e-02,1.459595e+05,2.467582e+05
1601680200000000000,srv3,4.503100e-02,1.349538e+05,2.411180e+05
1601680500000000000,srv3,4.325451e-02,1.289405e+05,2.253500e+05
1601680800000000000,srv3,4.263589e-02,1.276040e+05,2.267952e+05
1601681100000000000,srv3,4.123133e-02,1.221336e+05,2.167566e+05
1601681400000000000,srv3,3.906696e-02,1.161233e+05,2.072607e+05
1601681700000000000,srv3,3.821929e-02,1.127175e+05,1.989976e+05
1601682000000000000,srv3,3.749228e-02,1.084068e+05,1.923661e+05
1601682300000000000,srv3,3.590613e-02,1.075876e+05,1.905388e+05
1601682600000000000,srv3,3.443450e-02,1.012116e+05,1.795789e+05
